Company,Symbol
Reliance Industries,RELIANCE.NS
Tata Consultancy Services,TCS.NS
Infosys,INFY.NS
HDFC Bank,HDFCBANK.NS
ICICI Bank,ICICIBANK.NS
State Bank of India,SBIN.NS
Tata Motors,TATAMOTORS.NS
Larsen & Toubro,LT.NS
ITC Limited,ITC.NS
Bharti Airtel,BHARTIARTL.NS
Axis Bank,AXISBANK.NS
Adani Enterprises,ADANIENT.NS
Maruti Suzuki,MARUTI.NS
Wipro,WIPRO.NS
HCL Technologies,HCLTECH.NS
Sun Pharmaceutical,SUNPHARMA.NS
Tata Steel,TATASTEEL.NS
Asian Paints,ASIANPAINT.NS
Mahindra & Mahindra,M&M.NS
Bajaj Finance,BAJFINANCE.NS
